Borehole,Model,Date,Sim,Obs
Woodend Farm,AquiMod,01/01/1962,87.1429,
Woodend Farm,AquiMod,02/01/1962,87.166,
Woodend Farm,AquiMod,03/01/1962,87.1885,
Woodend Farm,AquiMod,04/01/1962,87.2122,
Woodend Farm,AquiMod,05/01/1962,87.2409,
Woodend Farm,AquiMod,06/01/1962,87.2699,
Woodend Farm,AquiMod,07/01/1962,87.2985,
Woodend Farm,AquiMod,08/01/1962,87.3284,
Woodend Farm,AquiMod,09/01/1962,87.3617,
Woodend Farm,AquiMod,10/01/1962,87.4007,
Woodend Farm,AquiMod,11/01/1962,87.4455,
Woodend Farm,AquiMod,12/01/1962,87.49,
Woodend Farm,AquiMod,13/01/1962,87.5341,
Woodend Farm,AquiMod,14/01/1962,87.5776,
Woodend Farm,AquiMod,15/01/1962,87.6228,
Woodend Farm,AquiMod,16/01/1962,87.6695,
Woodend Farm,AquiMod,17/01/1962,87.7166,
Woodend Farm,AquiMod,18/01/1962,87.7651,
Woodend Farm,AquiMod,19/01/1962,87.8138,
Woodend Farm,AquiMod,20/01/1962,87.8646,
Woodend Farm,AquiMod,21/01/1962,87.9247,
Woodend Farm,AquiMod,22/01/1962,87.9846,
Woodend Farm,AquiMod,23/01/1962,88.0459,
Woodend Farm,AquiMod,24/01/1962,88.1069,
Woodend Farm,AquiMod,25/01/1962,88.1672,
Woodend Farm,AquiMod,26/01/1962,88.2281,
Woodend Farm,AquiMod,27/01/1962,88.2884,
Woodend Farm,AquiMod,28/01/1962,88.3478,
Woodend Farm,AquiMod,29/01/1962,88.4061,
Woodend Farm,AquiMod,30/01/1962,88.4635,
Woodend Farm,AquiMod,31/01/1962,88.5244,
Woodend Farm,AquiMod,01/02/1962,88.5846,
Woodend Farm,AquiMod,02/02/1962,88.6439,
Woodend Farm,AquiMod,03/02/1962,88.7023,
Woodend Farm,AquiMod,04/02/1962,88.7595,
Woodend Farm,AquiMod,05/02/1962,88.8157,
Woodend Farm,AquiMod,06/02/1962,88.8712,
Woodend Farm,AquiMod,07/02/1962,88.926,
Woodend Farm,AquiMod,08/02/1962,88.9798,
Woodend Farm,AquiMod,09/02/1962,89.0323,
Woodend Farm,AquiMod,10/02/1962,89.0838,
Woodend Farm,AquiMod,11/02/1962,89.1341,
Woodend Farm,AquiMod,12/02/1962,89.1832,
Woodend Farm,AquiMod,13/02/1962,89.2311,
Woodend Farm,AquiMod,14/02/1962,89.2779,
Woodend Farm,AquiMod,15/02/1962,89.3235,
Woodend Farm,AquiMod,16/02/1962,89.3679,
Woodend Farm,AquiMod,17/02/1962,89.4112,
Woodend Farm,AquiMod,18/02/1962,89.4533,
